t	Xc
0.008213552	2.455837866
0.013689254	3.156996686
0.019164956	3.709870563
0.030116359	4.578616822
0.032854209	4.763278907
0.038329911	5.104646395
0.046543463	5.560795008
0.052019165	5.835434846
0.057494867	6.090941162
0.065708419	6.44440653
0.07118412	6.663247943
0.076659822	6.870617852
0.084873374	7.162990754
0.090349076	7.347021254
0.095824778	7.523383143
0.10403833	7.77512862
0.109514031	7.93531306
0.114989733	8.090036166
0.134154689	8.594476978
0.153319644	9.051906586
0.1724846	9.472397938
0.199863107	10.02299916
0.249144422	10.90401245
0.284736482	11.47542379
0.325804244	12.08430987
0.364134155	12.61391632
0.45174538	13.71770092
0.574948665	15.09086856
0.613278576	15.48629857
0.670773443	16.05694272
0.824093087	17.4707906
0.859685147	17.78050506
1.073237509	19.52594807
1.590691307	23.2090126
2.587268994	29.14619645
